Announced/Allocated,Obligated,State,Date
$277395.90,$277395.90,NH,31-Aug-24
$50780596.53,$50780596.53,MO,31-Aug-24
$14511048.34,$14511048.34,AR,31-Aug-24
$5802524.75,$5802524.75,KS,31-Aug-24
$2177271.65,$2177271.65,TN,31-Aug-24
$2077029.97,$2077029.97,NE,31-Aug-24
$3578661.42,$3578661.42,NY,31-Aug-24
$5464947.51,$5464947.51,ND,31-Aug-24
$2552131.36,$2552131.36,OK,31-Aug-24
$2340376.09,$2340376.09,NE,31-Aug-24
$4959201.84,$4959201.84,MI,31-Aug-24
$3536177.87,$3536177.87,WY,31-Aug-24
$937946.74,$937946.74,OR,31-Aug-24
$3294310.37,$3294310.37,NH,31-Aug-24
$3834034.74,$3834034.74,VT,31-Aug-24
$6624837.62,$6624837.62,WV,31-Aug-24
$1810850080.94,$1810850080.94,TX,31-Aug-24
$538739.24,$538739.24,ID,31-Aug-24
$2228407.06,$2228407.06,IA,31-Aug-24
$104158343.60,$104158343.60,USVI,31-Aug-24
$39854792.57,$39854792.57,PR,31-Aug-24
$988937048.37,$988937048.37,FL,31-Aug-24
$52509582.39,$52509582.39,GA,31-Aug-24
$3634231640.05,$3634231640.05,PR,31-Aug-24
$611772787.70,$611772787.70,USVI,31-Aug-24
$2490865.50,$2490865.50,FL,31-Aug-24
$1500862.71,$1500862.71,ID,31-Aug-24
$3481233.62,$3481233.62,WI,31-Aug-24
$64467691.65,$64467691.65,CA,31-Aug-24
$4852543.79,$4852543.79,LA,31-Aug-24
$9397082.81,$9397082.81,SC,31-Aug-24
$3869485.88,$3869485.88,KS,31-Aug-24
$5012694.62,$5012694.62,NY,31-Aug-24
$473165.81,$473165.81,AL,31-Aug-24
$1940134.07,$1940134.07,MS,31-Aug-24
$1217637.01,$1217637.01,AK,31-Aug-24
$270001.57,$270001.57,NM,31-Aug-24
$17090936.32,$17090936.32,CA,31-Aug-24
$10320386.72,$10320386.72,ME,31-Aug-24
$11551257.68,$11551257.68,NH,31-Aug-24
$1527238.61,$1527238.61,VT,31-Aug-24
$9719289.85,$9719289.85,AS,31-Aug-24
$5103015.72,$5103015.72,KY,31-Aug-24
$7777381.55,$7777381.55,WV,31-Aug-24
$17188020.06,$17188020.06,OH,31-Aug-24
$7652353.31,$7652353.31,KY,31-Aug-24
$7660905.30,$7660905.30,AL,31-Aug-24
$11471178.94,$11471178.94,IN,31-Aug-24
$997028.19,$997028.19,NC,31-Aug-24
$5054233.88,$5054233.88,HI,31-Aug-24
$22446557.75,$22446557.75,HI,31-Aug-24
$2749452.62,$2749452.62,ME,31-Aug-24
$9867539.60,$9867539.60,NJ,31-Aug-24
$587358.54,$587358.54,AK,31-Aug-24
$801803.94,$801803.94,NH,31-Aug-24
$1297195.12,$1297195.12,NH,31-Aug-24
$9923028.62,$9923028.62,MA,31-Aug-24
$310584.76,$310584.76,OK,31-Aug-24
$2341359.43,$2341359.43,MD,31-Aug-24
$767362.83,$767362.83,NE,31-Aug-24
$1979369.54,$1979369.54,MD,31-Aug-24
$11942433.07,$11942433.07,TX,31-Aug-24
$1159338.31,$1159338.31,WV,31-Aug-24
$8178915.82,$8178915.82,MA,31-Aug-24
$362354.63,$362354.63,VT,31-Aug-24
$3145479.52,$3145479.52,MI,31-Aug-24
$9973891.80,$9973891.80,CA,31-Aug-24
$4315695.47,$4315695.47,WI,31-Aug-24
$162043.70,$162043.70,WA,31-Aug-24
$1951140.29,$1951140.29,CT,31-Aug-24
$6983301.91,$6983301.91,IA,31-Aug-24
$605105.38,$605105.38,NE,31-Aug-24
$2161006.93,$2161006.93,MT,31-Aug-24
$46053.18,$46053.18,AZ,31-Aug-24
$13515370.24,$13515370.24,MN,31-Aug-24
$37220.00,$37220.00,AK,31-Aug-24
$178671.14,$178671.14,IA,31-Aug-24
$346230970.29,$346230970.29,NC,31-Aug-24
$65744116.20,$65744116.20,SC,31-Aug-24
$6056368.68,$6056368.68,HI,31-Aug-24
$3417214.08,$3417214.08,CNMI,31-Aug-24
$5891490.23,$5891490.23,NY,31-Aug-24
$1600728.67,$1600728.67,GU,31-Aug-24
$462864249.41,$462864249.41,FL,31-Aug-24
$50173827.12,$50173827.12,GA,31-Aug-24
$8815343.35,$8815343.35,VA,31-Aug-24
$25891690.24,$25891690.24,WI,31-Aug-24
$156908.20,$156908.20,KS,31-Aug-24
$152158923.87,$152158923.87,CNMI,31-Aug-24
$648460.92,$648460.92,MT,31-Aug-24
$1451083.05,$1451083.05,AL,31-Aug-24
$186799788.76,$186799788.76,CA,31-Aug-24
$24014269.65,$24014269.65,PA,31-Aug-24
$683038.33,$683038.33,AZ,31-Aug-24
$565392.06,$565392.06,CT,31-Aug-24
$3356418.07,$3356418.07,VA,31-Aug-24
$1755055.16,$1755055.16,NC,31-Aug-24
$49496098.34,$49496098.34,AK,31-Aug-24
$503775.67,$503775.67,MN,31-Aug-24
$2273576.13,$2273576.13,MS,31-Aug-24
$17147410.45,$17147410.45,TX,31-Aug-24
$1219381.94,$1219381.94,KS,31-Aug-24
$2630330.16,$2630330.16,WA,31-Aug-24
$4999385.91,$4999385.91,AL,31-Aug-24
$125390614.74,$125390614.74,NE,31-Aug-24
$85366050.24,$85366050.24,IA,31-Aug-24
$266925.86,$266925.86,CA,31-Aug-24
$240706.21,$240706.21,CA,31-Aug-24
$31815684.86,$31815684.86,OH,31-Aug-24
$356990.61,$356990.61,CA,31-Aug-24
$2570825.61,$2570825.61,AL,31-Aug-24
$19086249.25,$19086249.25,TN,31-Aug-24
$11926911.74,$11926911.74,KY,31-Aug-24
$10430779.20,$10430779.20,MS,31-Aug-24
$60798.66,$60798.66,IA,31-Aug-24
$7434792.69,$7434792.69,CA,31-Aug-24
$6164160.37,$6164160.37,OR,31-Aug-24
$440459.63,$440459.63,GU,31-Aug-24
$6985436.16,$6985436.16,CA,31-Aug-24
$10826273.44,$10826273.44,MO,31-Aug-24
$70133.46,$70133.46,AZ,31-Aug-24
$1284520.52,$1284520.52,MT,31-Aug-24
$51539418.35,$51539418.35,OK,31-Aug-24
$2903935.21,$2903935.21,LA,31-Aug-24
$56421329.39,$56421329.39,SD,31-Aug-24
$21854316.97,$21854316.97,AR,31-Aug-24
$45778493.50,$45778493.50,MN,31-Aug-24
$1049154.80,$1049154.80,ID,31-Aug-24
$2882610.64,$2882610.64,ND,31-Aug-24
$10571198.52,$10571198.52,VT,31-Aug-24
$434219.13,$434219.13,NE,31-Aug-24
$16285208.32,$16285208.32,OH,31-Aug-24
$369071.99,$369071.99,SD,31-Aug-24
$8304350.04,$8304350.04,KS,31-Aug-24
$3239190.35,$3239190.35,MS,31-Aug-24
$56465984.99,$56465984.99,MO,31-Aug-24
$2539538.07,$2539538.07,OR,31-Aug-24
$281757.77,$281757.77,OK,31-Aug-24
$10733969.41,$10733969.41,TX,31-Aug-24
